"";"distance";"moving_time";"start_date";"gear_id";"type"
"92";16;3000;2020-11-11 15:31:00;NA;"IceSkate"
"93";31506;3789;2020-11-10 14:53:20;"b6734226";"Ride"
"94";26041;1917;2020-11-10 08:25:19;NA;"Walk"
"95";748017;12606;2020-11-07 09:12:04;"b5957471";"Ride"
"96";49347;3210;2020-11-06 09:15:14;NA;"Walk"
"97";289757;4426;2020-11-05 14:26:40;"b5957471";"Ride"
"98";276814;3039;2020-11-04 18:20:30;"b6734226";"VirtualRide"
"99";217032;3727;2020-11-03 11:29:48;"b5957471";"Ride"
"100";323813;6449;2020-11-01 10:11:58;"b5957471";"Ride"
"101";486064;8368;2020-10-31 12:18:47;"b5957471";"Ride"
"102";26442;2732;2020-10-30 18:18:40;"b6734226";"VirtualRide"
"103";250464;2774;2020-10-29 12:52:45;"b6734226";"VirtualRide"
"104";20;3600;2020-10-28 19:40:34;NA;"IceSkate"
"105";62078;3504;2020-10-27 14:33:20;NA;"Walk"
"106";303875;3197;2020-10-26 18:05:48;"b6734226";"VirtualRide"
"107";284024;3602;2020-10-24 17:38:53;"b6734226";"VirtualRide"
"108";412539;5289;2020-10-23 13:07:49;"b6734226";"Ride"
"109";230901;3641;2020-10-21 12:12:41;"b5957471";"Ride"
"110";509157;6325;2020-10-19 12:52:57;"b6734226";"Ride"
"111";780188;11223;2020-10-18 07:23:07;"b6734226";"Ride"
"112";119405;18194;2020-10-17 07:33:52;"b6734226";"Ride"
"113";263386;3942;2020-10-16 13:45:49;"b6734226";"Ride"
"114";215407;2752;2020-10-15 09:11:52;"b6734226";"VirtualRide"
"115";16;4200;2020-10-13 18:30:09;NA;"IceSkate"
"116";322627;3612;2020-10-13 12:53:52;"b6734226";"VirtualRide"
"117";470974;6131;2020-10-11 08:28:46;"b6734226";"Ride"
"118";319611;4888;2020-10-09 07:24:50;"b5957471";"Ride"
"119";229381;3183;2020-10-07 17:25:52;"b6734226";"VirtualRide"
"120";193801;3320;2020-10-05 17:24:03;"b6734226";"VirtualRide"
